City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
549,Nokaneng,BW,70.38,-19.6667,22.2667,
550,Mackay,AU,84.2,-21.15,149.2,International Lodge Motel
551,Mazatlan,MX,68.0,23.2167,-106.4167,Gaviana Resort
552,Acoua,YT,77.0,-12.7239,45.0582,Gîte de Mliha
557,Pochutla,MX,75.2,15.7432,-96.4661,Hotel Posada San Jose
559,Vanimo,PG,85.15,-2.6741,141.3028,Vahmoneh Lodge Vanimo
561,Sechura,PE,73.78,-5.5569,-80.8222,Hospedaje Costa Bella
563,Pemangkat,ID,80.94,1.1667,108.9667,Kost H.Syamsuddin
566,Murray Bridge,AU,70.0,-35.1167,139.2667,Balcony On Sixth Lodge
568,Los Llanos De Aridane,ES,64.4,28.6585,-17.9182,Valle Aridane
569,Vangaindrano,MG,77.58,-23.35,47.6,Hotel Fanilo
571,Libenge,CD,68.77,3.65,18.6333,
572,Cilegon,ID,82.4,-6.0174,106.0538,Forbis Hotel
573,Linhares,BR,70.32,-19.3911,-40.0722,Hotel Conceição
574,Camopi,GF,72.01,3.1655,-52.3158,
575,Tomatlan,MX,63.16,19.9333,-105.25,Norma franco
577,Barretos,BR,70.45,-20.5572,-48.5678,Dan Inn Barretos
578,Sao Borja,BR,67.93,-28.6606,-56.0044,Hotel Executivo
581,Pontes E Lacerda,BR,69.22,-15.2261,-59.3353,Hotel Bressan
583,Martapura,ID,80.6,-3.4167,114.85,Montana Hotel Syariah
588,Mahina,PF,86.0,-17.5065,-149.489,Guest Beach Bungalow Tahiti
590,Iquitos,PE,77.0,-3.7481,-73.2472,Cortez Malaga Techy Caroly
591,Uige,AO,63.79,-7.6087,15.0613,Juliao Pereira
592,Banjar,ID,82.4,-8.19,114.9675,The Hamsa Resort
596,Adeje,ES,60.8,28.1227,-16.726,Gran Tacande Wellness & Relax
599,Mopipi,BW,73.69,-21.1833,24.8833,
602,Kieta,PG,85.53,-6.2167,155.6333,
606,Hervey Bay,AU,86.0,-25.2986,152.8535,Shelly Bay Resort
608,Wamba,NG,72.34,8.9333,8.6,Roma Zee Guest House Annex
612,Acarau,BR,79.2,-2.8856,-40.12,castelo pizzaria
613,Carlsbad,US,64.99,33.1581,-117.3506,Carlsbad Inn Beach Resort
615,Rangpur,BD,69.01,25.75,89.25,Hotel Shah Amanat
616,Santa Fe,AR,69.01,-31.6333,-60.7,Conquistador Hotel
622,Bantogon,PH,75.85,6.5333,124.0333,Kalamansig Greenhome
624,Saint-Joseph,RE,78.8,-21.3667,55.6167,"""Plantation Bed and Breakfast"
625,Rantepao,ID,77.58,-2.9701,119.8978,Hotel Luta Resort
626,Ormara,PK,66.76,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
627,Vao,NC,78.08,-22.6667,167.4833,Hotel Kou-Bugny
632,San Juan,AR,76.46,-31.5375,-68.5364,Hotel Provincial
633,Bosaso,SO,71.67,11.2842,49.1816,Red Sea Hotel
634,Vallenar,CL,63.88,-28.5708,-70.7581,Humacao Bed & Breakfast
636,Gariaband,IN,60.8,20.635,82.0614,हंसराज ट्रैक्टर
637,Lokoja,NG,77.11,7.8024,6.742999999999999,Hotel Charvid
642,Ambilobe,MG,75.06,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
643,Le Port,RE,78.8,-20.9373,55.2919,Villa Maido
645,Whyalla,AU,69.8,-33.0333,137.5833,Foreshore Motor Inn
648,Fare,PF,81.63,-16.7,-151.0167,Maitai Lapita Village Huahine
649,Beloha,MG,75.63,-25.1667,45.05,
651,Soc Trang,VN,75.2,9.6033,105.98,Phu Qui Hotel
652,Sabla,NG,69.91,12.7525,4.7077,
653,Santa Rosa,PH,82.4,14.3122,121.1114,Erlyn’s Sta Rosa City Home
656,Camocim,BR,78.84,-2.9022,-40.8411,Hotel Ilha do Amor
658,Richards Bay,ZA,70.11,-28.783,32.0377,BON Hotel Waterfront Richards Bay
660,Kirakira,SB,86.85,-10.4544,161.9205,SanBiz Lodge
661,Senanga,ZM,66.09,-16.1167,23.2667,Christopher Nasilele House
663,Mogadishu,SO,74.7,2.0371,45.3438,Hotel Juba
664,Bonthe,SL,75.63,7.5264,-12.505,Bonthe Holiday Village
668,Sawtell,AU,81.0,-30.3833,153.1,Island Beach House Sawtell
669,Catuday,PH,78.03,16.2923,119.8062,GResort
671,Marawi,PH,77.0,7.9986,124.2928,Derogongan Residence
674,Vila Do Maio,CV,69.8,15.1333,-23.2167,Residence 'I Delfini'
676,Yeppoon,AU,87.8,-23.1333,150.7333,Villa Mar Colina
677,Namibe,AO,71.46,-15.1961,12.1522,Hotel Chik Chik Namibe
679,Pita,GN,66.18,10.8333,-12.5833,
680,Chicama,PE,71.44,-7.8447,-79.1469,Hospedaje Punta Cana PERU
682,Neiafu,TO,86.0,-18.65,-173.9833,Mystic Sands
684,Murupara,NZ,79.0,-38.4667,176.7,Murupara Motor Camp
