City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
346,Misratah,32.3754,15.0925,56.23,70,17,18.77,LY,2021-01-16 02:05:27
347,Los Llanos De Aridane,28.6585,-17.9182,62.6,59,75,11.5,ES,2021-01-16 02:05:27
348,Eureka,40.8021,-124.1637,55.0,89,59,1.01,US,2021-01-16 02:05:27
349,Ixtapa,20.7,-105.2,70.0,94,90,1.59,MX,2021-01-16 02:05:27
350,Margate,51.3813,1.3862,35.01,75,100,1.99,GB,2021-01-16 02:05:28
351,Dongkan,33.9997,119.8308,35.08,77,0,12.06,CN,2021-01-16 02:05:28
352,Kaitangata,-46.2817,169.8464,66.99,78,15,8.99,NZ,2021-01-16 02:05:28
353,Port Lincoln,-34.7333,135.8667,62.91,53,23,12.59,AU,2021-01-16 02:05:28
354,Bengkulu,-3.8004,102.2655,81.77,64,93,2.53,ID,2021-01-16 02:05:29
355,Bima,-8.4667,118.7167,77.92,81,100,0.69,ID,2021-01-16 02:05:29
356,Placido De Castro,-10.3353,-67.1856,73.42,90,100,1.88,BR,2021-01-16 02:05:29
357,Deputatskiy,69.3,139.9,-20.49,89,100,1.97,RU,2021-01-16 02:05:29
358,Roebourne,-20.7833,117.1333,94.24,50,47,11.25,AU,2021-01-16 02:05:29
359,Oyo,7.85,3.9333,73.45,79,2,3.09,NG,2021-01-16 02:05:30
360,Nantucket,41.2835,-70.0995,41.0,81,1,5.75,US,2021-01-16 02:04:57
361,San Patricio,28.017,-97.5169,51.8,57,1,5.75,US,2021-01-16 02:05:30
362,Davila,18.4726,120.5763,78.8,61,20,4.61,PH,2021-01-16 02:05:30
363,Houma,29.5958,-90.7195,48.99,61,1,9.22,US,2021-01-16 02:05:30
364,Yakeshi,49.2833,120.7333,-7.76,89,100,14.07,CN,2021-01-16 02:05:31
365,Suntar,62.1444,117.6319,-34.06,83,100,4.09,RU,2021-01-16 02:05:31
366,Samarai,-10.6167,150.6667,86.63,69,96,13.65,PG,2021-01-16 02:05:31
367,Knysna,-34.0363,23.0471,62.6,88,0,6.91,ZA,2021-01-16 02:05:31
368,Shelburne,44.0787,-80.2041,36.0,97,100,14.23,CA,2021-01-16 02:05:31
369,Tecoanapa,16.5167,-98.75,77.77,76,100,3.53,MX,2021-01-16 02:05:31
370,Makueni,-1.8041,37.6203,60.8,90,0,3.31,KE,2021-01-16 02:05:32
371,Grand Gaube,-20.0064,57.6608,79.0,86,12,5.01,MU,2021-01-16 02:05:32
372,Henties Bay,-22.116,14.2845,71.01,80,64,4.16,NA,2021-01-16 02:05:32
373,Villa Del Rosario,7.8339,-72.4742,72.0,83,76,1.57,CO,2021-01-16 02:05:32
374,Fairbanks,64.8378,-147.7164,12.2,79,75,3.38,US,2021-01-16 02:05:32
375,Elizabeth City,36.2946,-76.2511,54.0,82,40,5.75,US,2021-01-16 02:05:33
376,Chimbote,-9.0853,-78.5783,70.7,80,99,5.73,PE,2021-01-16 02:05:33
377,Homer,59.6425,-151.5483,35.01,86,1,5.75,US,2021-01-16 02:05:33
378,Coihueco,-36.6167,-71.8333,69.8,40,0,12.66,CL,2021-01-16 02:01:55
379,Darab,28.7519,54.5444,47.26,42,0,1.66,IR,2021-01-16 02:05:33
380,Coari,-4.085,-63.1414,75.02,97,77,2.42,BR,2021-01-16 02:05:33
381,Kemise,10.7167,39.8667,61.0,50,5,2.42,ET,2021-01-16 02:05:34
382,Opuwo,-18.0607,13.84,61.18,78,0,2.21,NA,2021-01-16 02:05:34
383,Fortuna,40.5982,-124.1573,55.0,94,20,8.05,US,2021-01-16 02:05:34
384,Iqaluit,63.7506,-68.5145,15.8,79,90,13.8,CA,2021-01-16 02:05:34
